Date,Open,High,Low,Last,Volume,Open Interest
2019-04-18,,496.0,426.0,426.0,0.0,0.0
2019-04-17,,427.0,427.0,427.0,0.0,0.0
2019-04-16,,426.0,426.0,426.0,0.0,0.0
2019-04-15,,431.0,431.0,431.0,0.0,0.0
2019-04-12,,431.0,431.0,431.0,0.0,0.0
2019-04-11,,427.0,427.0,427.0,0.0,0.0
2019-04-10,,423.0,423.0,423.0,0.0,0.0
2019-04-09,,484.0,424.0,424.0,0.0,0.0
2019-04-08,,425.0,425.0,425.0,0.0,0.0
2019-02-21,,455.0,455.0,455.0,0.0,0.0
2019-02-20,,454.0,454.0,454.0,0.0,0.0
2019-02-19,,466.0,466.0,466.0,0.0,0.0
2019-02-18,,468.0,468.0,468.0,0.0,0.0
2019-02-15,,468.0,468.0,468.0,0.0,0.0
2019-02-14,,474.0,474.0,474.0,0.0,0.0
2019-02-13,,481.0,481.0,481.0,0.0,0.0
2019-02-12,,478.0,478.0,478.0,0.0,0.0
2019-02-11,,480.0,480.0,480.0,0.0,0.0
2019-04-05,,426.0,426.0,426.0,0.0,0.0
2019-04-04,,435.0,435.0,435.0,0.0,0.0
2019-04-03,,435.0,435.0,435.0,0.0,0.0
2019-04-02,,434.0,434.0,434.0,0.0,0.0
2019-04-01,,437.0,437.0,437.0,0.0,0.0
2019-03-29,,434.0,434.0,434.0,0.0,0.0
2019-03-28,,439.0,439.0,439.0,0.0,0.0
2019-03-27,,439.0,439.0,439.0,0.0,0.0
2019-03-26,,438.0,438.0,438.0,0.0,0.0
2019-03-25,,442.0,442.0,442.0,0.0,0.0
2019-03-22,,438.0,438.0,438.0,0.0,0.0
2019-03-21,,438.0,438.0,438.0,0.0,0.0
2019-03-20,,429.0,429.0,429.0,0.0,0.0
2019-03-19,,429.0,429.0,429.0,0.0,0.0
2019-03-18,,429.0,429.0,429.0,0.0,0.0
2019-03-15,,433.0,433.0,433.0,0.0,0.0
2019-03-14,,429.0,429.0,429.0,0.0,0.0
2019-03-13,,430.0,430.0,430.0,0.0,0.0
2019-03-12,,432.0,432.0,432.0,0.0,0.0
2019-03-11,,413.0,413.0,413.0,0.0,0.0
2019-03-08,,422.0,422.0,422.0,0.0,0.0
2019-03-07,,422.0,422.0,422.0,0.0,0.0
2019-03-06,,430.0,430.0,430.0,0.0,0.0
2019-03-05,,439.0,439.0,439.0,0.0,0.0
2019-03-04,,434.0,434.0,434.0,0.0,0.0
2019-03-01,,435.0,435.0,435.0,0.0,0.0
2019-02-28,,435.0,435.0,435.0,0.0,0.0
2019-02-27,,431.0,431.0,431.0,0.0,0.0
2019-02-26,,431.0,431.0,431.0,0.0,0.0
2019-02-25,,441.0,441.0,441.0,0.0,0.0
2019-02-22,,455.0,455.0,455.0,0.0,0.0
